fund_period_id,fund_id,lp_id,lp_name,share_class_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,perspective,currency,commitment,paid_in_capital_itd,distributions_itd,nav,unfunded_commitment,recallable_distributions_itd,dpi,rvpi,tvpi,reported_irr,calculated_irr,beginning_nav,contributions_period,distributions_period,realized_gain_period,unrealized_gain_period,net_income_period,management_fee_period,other_expenses_period,ending_nav,period_return,benchmark_return,fund_size,vintage_year,strategy,sub_strategy,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_observation_ids,synthetic_parameter_set_id,defect_expected,record_status
FPRINT_9B25F06EAD31B88B05FF,FUND_0001,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,349825873.096101,323882367.823489,58626960.728546,315026748.334650,25943505.272612,0.000000,0.1810131287,0.9726579142,101.1536710429,,0.0434749958,289824608.467878,9716471.034705,2345078.429142,7701573.807065,7875668.708366,3477895.301615,1049477.619288,174912.936548,315026748.334650,0.0615225441,0.2038617761,349825873.096101,2022,Buyout,Buyout,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_D89D3607251F631B9972,FUND_0002,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,228209692.089036,223645498.247255,220990883.799171,-61408543.497991,4564193.841781,0.000000,0.9881302576,0.2745798283,1.2627100859,,0.0187976857,56495859.098152,6709364.947418,8839635.351967,5628523.855072,1535213.562450,677950.309178,684629.076267,114104.846045,61408542.497991,0.1246631862,0.2038617761,228209692.089036,2006,Diversified Alternatives,Multi-Strategy,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_CD32EC1729642FDD0E79,FUND_0003,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,243470807.146070,238601391.003149,199966192.465657,96541878.355929,4869416.142921,0.000000,0.8380763902,0.4046157399,1.2426921301,,0.0197501924,88818528.087454,7158041.730094,7998647.698626,5936734.766070,2413546.958898,1065822.337049,730412.421438,121735.403573,96541878.355929,0.0964208304,0.2038617761,243470807.146070,2027,Secondary Investments,Multi-Strategy,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_CDA69B0F87B24F979F5B,FUND_0004,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,3750000.000000,2558543.000000,4987944.000000,127927.150000,441457.000000,0.000000,1.9495251790,0.0500000000,1.9995251790,,0.0643259742,117692.978000,76756.290000,199517.760000,138885.147514,3198.178750,1412.315736,9000.000000,1500.000000,127927.150000,1.1300218948,0.2038617761,332543959.972742,2007,Growth Equity,Venture Capital,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_3070A16ABD92E47E85D9,FUND_0005,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,5000000.000000,750000.000000,7500.000000,765912.000000,4250000.000000,0.000000,0.0100000000,1.0212160000,1.0312160000,,0.0060720797,704639.040000,22500.000000,300.000000,28969.491520,19147.800000,8455.668480,15000.000000,2500.000000,957390.000000,0.0554510292,0.2038617761,588931371.971365,2020,Venture Capital,Multi-Strategy,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_EE11E0E4375F8FA0AAFA,FUND_0006,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,500000.000000,500000.000000,312267.000000,273598.000000,0.000000,0.000000,100.6245340000,0.5471960000,1.1717300000,,0.0229328288,251710.160000,15000.000000,12490.680000,11268.048080,6839.950000,3020.521920,1500.000000,250.000000,273598.000000,0.0769874367,0.2038617761,333212343.901020,2016,Venture Capital,Venture Capital,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_5F2702995A2C854D5690,FUND_0007,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,1000000.000000,1000000.000000,66947.000000,1337358.000000,0.000000,0.000000,0.0669470000,1.3373580000,101.4043050000,,0.0527798887,1230369.360000,30000.000000,2677.880000,34968.137680,33433.950000,14764.432320,3000.000000,500.000000,1337358.000000,0.0647500845,0.2038617761,198549466.632140,2018,Venture Capital,Venture Capital,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_85E3B87612C23E5DC6AF,FUND_0008,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,2000000.000000,2000000.000000,20000.000000,-2000001.000000,0.000000,0.000000,0.0100000000,1.0000000000,1.0100000000,,0.0016995620,1840000.000000,60000.000000,800.000000,35720.000000,50000.000000,22080.000000,6000.000000,1000.000000,2000000.000000,0.0547826087,0.2038617761,498150878.878504,2019,Venture Capital,Venture Capital,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_4AE7BFA2BBDCFED98E2B,FUND_0009,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,2000000.000000,500000.000000,5000.000000,500000.000000,1500000.000000,0.000000,0.0100000000,1.0000000000,1.0100000000,,0.0023233060,460000.000000,15000.000000,200.000000,14180.000000,12500.000000,5520.000000,6000.000000,1000.000000,500000.000000,0.0547826087,0.2038617761,542460222.420835,2027,Venture Capital,Venture Capital,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
FPRINT_8D6DD09AB6DA10227301,FUND_0010,,,,as_of,2026-06-30,day,2026-06-30,,2026-01-01,2026-06-30,,fund_total,USD,6250000.000000,5000000.000000,1786462.000000,5066868.000000,0.000000,0.000000,0.3572924000,1.0133736000,1.3706660000,,0.0224293432,4661518.560000,150000.000000,71458.480000,161697.997280,126671.700000,55938.222720,15000.000000,2500.000000,5066868.000000,0.0701076089,0.2038617761,356179709.394598,2007,Venture Capital,Multi-Strategy,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_PERIOD_COMPLETION_V1,,INTEGRATED_COMPLETION_V1,TRUE,ACTIVE
