"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","source_page","page_status","layout_checked","source_structures","relevant_record_families","expected_observation_count","records_written","notes","extractor_model"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","1","ELIGIBLE_DATA_EXTRACTED","YES","2021 Investment Summary | Defined Benefit Investments (Continued)","allocation_observation | document_context | fund_economics_observation","43","43","counted from PNG page-001. The 2021 Investment Summary table prints six value columns across seven rows and every cell is populated (42), plus one document_context row. A counted 36, having skipped the Percent of Total Fair Value column entirely; B counted all six columns.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","2","ELIGIBLE_DATA_EXTRACTED","YES","Defined Benefit Investments (Continued) | Defined Benefit Systems Investments at Fair Value | UNTITLED_TABLE_1","allocation_observation","81","81","counted from PNG page-002. Three structures: the Defined Benefit Systems Investments at Fair Value donut prints six slice labels (6); the untitled ten-year table beneath it prints seven rows across ten year columns, all populated (70); and the narrative states five board-reported allocation percentages (5). Both lanes reached 81 but filed the two lower structures under the donut title, which the resolution separates.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","10-Year Total Pension Investment Rates of Return","performance_observation","30","30","Page 3 carries 30 accepted observations: ten portfolio fair-value values, nineteen reported return values, and one net-of-fees return stated in the footnote. The twenty actuarial-assumption and expected-return cells fall outside the metric vocabulary.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","4","ELIGIBLE_DATA_EXTRACTED","YES","Comparative Investment Results","allocation_observation | performance_observation","78","78","counted from PNG page-004. Comparative Investment Results prints sixteen rows of four period columns, all populated (64). Footnote *** prints the total fund net return for all four periods, distinct from the gross figures in the table, and both lanes missed it (4). The two Benchmark consisting of notes print ten constituent weights of the named Fund Benchmarks, which both lanes missed (10); a weight of a named benchmark is that benchmark's target allocation, the same call made on SRC389 in this route. The Private Equity Benchmark line prints no weights of its own.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","Broker Commission Fees | Defined Benefit Investments (Continued) | Largest Debt Securities Holdings | Largest Equity Holdings | Schedule of Investment Fees and Commissions","fund_economics_observation | position_observation","63","63","counted from PNG page-005. Largest Equity Holdings prints ten rows of two columns (20); Largest Debt Securities Holdings ten rows of two columns (20); Broker Commission Fees eleven brokers plus a total (12); the Schedule of Investment Fees and Commissions nine lines (9); and the commission-recapture paragraph two amounts (2). A counted 61, having missed the two narrative amounts.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC216","5c03d8f73453f799cd0bff82f0d4a880e783247918a72dd35e8cdd352a6d2a50","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","1","ELIGIBLE_DATA_EXTRACTED","YES","Monthly Transaction Report | Private Equity","document_context | fund_economics_observation","3","3","Counted from page-001.png: the Private Equity section prints exactly two bolded commitment lines carrying a value (€ 150 million, € 50 million); the Public Equities section states no activity and prints no figure. Two observations plus the single document_context row is 3, which both lanes reached.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC216","5c03d8f73453f799cd0bff82f0d4a880e783247918a72dd35e8cdd352a6d2a50","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","2","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: counted from page-002.png, Fixed Income, Real Estate, Credit and Opportunistic/Absolute Return Strategies each print a mandate paragraph and a no activity sentence, with no numeric cell, table or chart anywhere on the page; the only digits are the April 2026 report month in the running header and the closing date of the page 1 commitment, neither of which is a measured value in an allowed category. Substantive report narrative, not glossary or disclosure boilerplate, so NO_ELIGIBLE_DATA and not REFERENCE_ONLY. Both lanes agree; only layout_checked differed and that is not a published field.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC216","5c03d8f73453f799cd0bff82f0d4a880e783247918a72dd35e8cdd352a6d2a50","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","3","NO_ELIGIBLE_DATA","YES","","","0","0","NO_ELIGIBLE_REASON: counted from page-003.png, Real Assets and Emerging Manager Program print a mandate paragraph and a no activity sentence each, the rest of the page is blank, and the only digits are the April 2026 report month in the running header. Same ruling as page 2.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","1","REFERENCE_ONLY","YES","","","0","0","Counted from page-001.png: a title page carrying the fund name, the report name, the statute citation, the report date and the UTIMCO website line, and no value of any kind. Both lanes called it NO_ELIGIBLE_DATA; a cover is reference content by the coverage rule, so the zero is right and the label is corrected to REFERENCE_ONLY.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","2","ELIGIBLE_DATA_EXTRACTED","YES","Market Value and Book Value of the PUF | Report on Certain Specified Data","document_context | fund_economics_observation","3","3","Counted from page-002.png: four narrative sections, of which only Market Value and Book Value of the PUF prints figures, one sentence giving $39.5 billion and $33.6 billion. The acreage and constitutional-history numbers in the earlier sections are land and chronology facts with no controlled category. Two observations plus the single document_context row is 3. The context row is filed on this page and not page 1 because page 1 is a cover with no observation and the contract rejects a page whose only record is the context row.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","3","ELIGIBLE_DATA_EXTRACTED","YES","Investment Performance of the Ten Largest Stock Holdings – July 1, 2024 through June 30, 2025.","performance_observation","20","20","NO_ELIGIBLE_REASON: counted from page-003.png, ten named holdings across three printed value columns is thirty printed cells, of which twenty are extracted. The Percentage of Fund June 30, 2025 column is excluded: the table is typed performance_observation, that family has no category for a percent-of-fund weight, and B filing it as aum would record a weight as assets under management. A extracted 20, B extracted 30; the difference is that one column, not a missed reading.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","4","ELIGIBLE_DATA_EXTRACTED","YES","Asset Allocation","allocation_observation","21","21","Counted from page-004.png: the Asset Class column prints 21 rows carrying a percentage under the 06/30/2025 column, being 6 under Global Equity, 7 under Stable Value, 5 under Real Return, plus Strategic Partnerships, Innovation & Disruption and Total All Asset Classes. The three group headings themselves print no value and produce no row. Both lanes reached 21.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC356","bce1cc0f3cc4e5824307fdad05b63b448110f6218011c115af879665eca07ba5","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","5","ELIGIBLE_DATA_EXTRACTED","YES","Economically Targeted Investments","position_observation","25","25","Counted from page-005.png: 24 named investments each with one Market Value figure, plus the closing total, is 25. Both lanes reached 25.","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC375","f61eeefaffa1b3e41935961142f563d3887f3c3e621e726449d5826821bce017","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","1","ELIGIBLE_DATA_EXTRACTED","YES","Annual Report 2025 Highlights | Investor Composition | Long Term Pool Market Value | Serving the University","allocation_observation | document_context | performance_observation","20","20","counted from PNG page-001. Graph 1 prints four donut slices, a 100% Short Term Pool slice and two donut-centre totals (7); Graph 2 prints four bars (4); the Serving the University narrative states two pool totals, four investor component amounts and the two endpoints of the AUM growth sentence (8); plus one document_context row. A counted 16 having skipped the narrative block; B counted 20 but its four component amounts duplicate A's rows for the same printed cells, which resolve to one row each.","claude-sonnet-5+gpt-5+claude-opus-5"
