fund_period_id,fund_id,lp_id,lp_name,share_class_name,date_role,date_raw,date_precision,as_of_date,report_date,period_start_date,period_end_date,effective_date,perspective,currency,commitment,paid_in_capital_itd,distributions_itd,nav,unfunded_commitment,recallable_distributions_itd,dpi,rvpi,tvpi,reported_irr,calculated_irr,beginning_nav,contributions_period,distributions_period,realized_gain_period,unrealized_gain_period,net_income_period,management_fee_period,other_expenses_period,ending_nav,period_return,benchmark_return,fund_size,vintage_year,strategy,sub_strategy,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_observation_ids,synthetic_parameter_set_id,defect_expected,record_status,fund_name,fund_manager_name,source_observation_count,quality_pass_count,quality_fail_count,quality_skip_count,quality_status,failed_quality_rules,analytics_provenance_type,recomputed_dpi,recomputed_rvpi,recomputed_tvpi,recomputed_irr,recomputed_ks_pme,recomputed_direct_alpha,analysis_benchmark_ids,analysis_result_ids,attribute_change_ids,term_management_fee_rate,term_management_fee_basis,term_carry_rate,term_hurdle_rate,term_catch_up_rate,term_catch_up_present,term_waterfall_type,term_fund_term_years,term_extension_years,term_preferred_return_compounding,term_expense_cap_rate,term_maximum_offering,term_currency,term_id,term_scope,term_effective_date,term_effective_end_date,term_provenance_type,term_source_document_id,term_source_page,term_source_anchor,term_synthetic_parameter_set_id,term_clause_id,term_clause_metric_id,term_clause_title,term_clause_value_raw,term_clause_value_text,term_clause_effective_date,term_clause_effective_end_date,term_clause_provenance_type,term_clause_source_document_id,term_clause_source_page,term_clause_source_anchor,term_clause_synthetic_parameter_set_id,holding_count,holding_fair_value_total,holding_ids,holding_as_of_date,holding_provenance_type,holding_source_document_ids,holding_source_pages,holding_source_anchors,holding_synthetic_parameter_set_ids,allocation_id,portfolio_id,portfolio_as_of_date,portfolio_target_weight,portfolio_minimum_weight,portfolio_maximum_weight,portfolio_commitment_amount,portfolio_nav_amount,portfolio_unfunded_amount,portfolio_expected_return,portfolio_expected_volatility,portfolio_liquidity_score,portfolio_strategy,portfolio_sub_strategy,portfolio_provenance_type,portfolio_source_document_id,portfolio_synthetic_parameter_set_id,portfolio_optimization_run_id,vintage_year_origin,vintage_year_source_observation_id,vintage_year_source_document_id,vintage_year_source_page,vintage_year_source_quote,strategy_origin,strategy_source_observation_id,strategy_source_document_id,strategy_source_page,strategy_source_quote
FP_7d28c7670679ea19,FUND_0004,,,,as_of,,day,2021-12-31,,,,,fund_total,,3000000,2558543,4987944,0,0,,,,1.95,0.1197,,,,,,,,,,,,,,2007,Growth Equity,,EXTRACTED,SRC035,,,,0ac3a671d1bc1facc753 | 39fe85dd008955e0d5a0 | 3bcd7c3a921399886b0a | 7ef3e2a8d9d9d81b7216 | 8700a725a7918cd54ffe | cb600ac25d835c7da07f | e4ef5249319010e5e1f8,,,ACTIVE,"Adventure Fund I, L.P.",,7,5,0,11,PASS,,EXTRACTED,1.949525179,0,1.949525179,,,,,ANL_FUND_0004_20211231_DPI | ANL_FUND_0004_20211231_RVPI | ANL_FUND_0004_20211231_TVPI,AC_0c7c59074a88035fbda2 | AC_3ffc310c737a4744bf6a,0.0222635014,committed_capital,0.2500000000,0.0600000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,332543959.972742,USD,TERMINT_F92B32896C3C4D55CBEE,base_fund,2007-01-01,2019-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_0C9A39349BF7E42DDDBA,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2007-01-01,2019-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,0ac3a671d1bc1facc753,SRC035,1,"Adventure Fund I, L.P. 2007 Growth Equity $3,000,000 $2,558,543 $0 $4,987,944 $0 1.95 11.97",INHERITED,0ac3a671d1bc1facc753,SRC035,1,"Adventure Fund I, L.P. 2007 Growth Equity $3,000,000 $2,558,543 $0 $4,987,944 $0 1.95 11.97"
FP_1343a440f9973e44,FUND_0005,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,750000,0,765912,4250000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,0571a342bc87df4cb40c | 0b63c417816edacc739c | 46236872ce3f9c3e9774 | 7a946ba1677ef3d61d38 | bcff265bbb8c348fd411,,,ACTIVE,Builders VC Fund II,,5,4,0,12,PASS,,EXTRACTED,0,1.021216,1.021216,,,,,ANL_FUND_0005_20211231_DPI | ANL_FUND_0005_20211231_RVPI | ANL_FUND_0005_20211231_TVPI,AC_1481aaa5fe5c86f990a0 | AC_a39962e344942450019e,0.0230225859,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,588931371.971365,USD,TERMINT_F686896EBB97717B431E,base_fund,2020-01-01,2032-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_F3345985A7E91E442F2A,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2020-01-01,2032-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,0571a342bc87df4cb40c,SRC035,3,"Builders VC Fund II 2020 Venture Capital $5,000,000 $750,000 $4,250,000 $0 $765,912 NM NM",INHERITED,0571a342bc87df4cb40c,SRC035,3,"Builders VC Fund II 2020 Venture Capital $5,000,000 $750,000 $4,250,000 $0 $765,912 NM NM"
FP_07f9d7a6458e0c87,FUND_0006,,,,as_of,,day,2021-12-31,,,,,fund_total,,500000,500000,312267,273598,0,,,,1.17,0.0297,,,,,,,,,,,,,,2016,Venture Capital,,EXTRACTED,SRC035,,,,2d5e270a9bbc477e2941 | 39943345805502fe1804 | 60d88537434be47bcd56 | 8c67327339347efc95c3 | ca9f78dfacc24dc4a455 | eb8be0da5bd2dff7259c | f5a74870a6623006a06e,,,ACTIVE,"Cascade Angels Fund 2016, L.P.",Cascade Angels,7,5,0,11,PASS,,EXTRACTED,0.624534,0.547196,1.17173,,,,,ANL_FUND_0006_20211231_DPI | ANL_FUND_0006_20211231_RVPI | ANL_FUND_0006_20211231_TVPI,AC_52a8e4f4c04eb7028808 | AC_ff47120d248dd5212cf5,0.0245302875,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,333212343.901020,USD,TERMINT_CF40546084951E62F846,base_fund,2016-01-01,2028-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_047711A15F67303B3A9A,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2016-01-01,2028-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,2d5e270a9bbc477e2941,SRC035,2,"Cascade Angels Fund 2016, L.P. 2016 Venture Capital $500,000 $500,000 $0 $312,267 $273,598 1.17 2.97",INHERITED,2d5e270a9bbc477e2941,SRC035,2,"Cascade Angels Fund 2016, L.P. 2016 Venture Capital $500,000 $500,000 $0 $312,267 $273,598 1.17 2.97"
FP_d042e74626691028,FUND_0007,,,,as_of,,day,2021-12-31,,,,,fund_total,,1000000,1000000,66947,1337358,0,,,,1.4,0.1151,,,,,,,,,,,,,,2018,Venture Capital,,EXTRACTED,SRC035,,,,2d07fde5638a0b639b92 | 50ed075570191356889e | 6a3e18cfdcb5b87c2bac | 74e037f06de12161e7e3 | a23ceaed5db8022e11b0 | a447d1dfa4f5ac951ac9 | d98598d7a24f520a020d,,,ACTIVE,"Cascade Angels Fund V, LLC",Cascade Angels,7,5,0,11,PASS,,EXTRACTED,0.066947,1.337358,1.404305,,,,,ANL_FUND_0007_20211231_DPI | ANL_FUND_0007_20211231_RVPI | ANL_FUND_0007_20211231_TVPI,AC_219b785ab8b94a47980a | AC_5f4e94cc4a27a0a7cec2,0.0224456305,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,198549466.632140,USD,TERMINT_1007D078F3557D482478,base_fund,2018-01-01,2030-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_419E402B7FAC49FCA0EE,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2018-01-01,2030-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,2d07fde5638a0b639b92,SRC035,3,"Cascade Angels Fund V, LLC 2018 Venture Capital $1,000,000 $1,000,000 $0 $66,947 $1,337,358 1.40 11.51",INHERITED,2d07fde5638a0b639b92,SRC035,3,"Cascade Angels Fund V, LLC 2018 Venture Capital $1,000,000 $1,000,000 $0 $66,947 $1,337,358 1.40 11.51"
FP_f22f1f9b1c0cbddf,FUND_0008,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,2000000,0,2000000,0,,,,,,,,,,,,,,,,,,,2019,Venture Capital,,EXTRACTED,SRC035,,,,2ae1d8d4437f484e9fcb | 635f3df81171b5b9c56f | 6d07b76aba6f2dd6d9fb | a3d6b4ddf4508a2490d3 | d5a108b64de2c8e227c4,,,ACTIVE,"Cascade Seed Fund I, LLC",Cascade Seed,5,4,0,12,PASS,,EXTRACTED,0,1,1,,,,,ANL_FUND_0008_20211231_DPI | ANL_FUND_0008_20211231_RVPI | ANL_FUND_0008_20211231_TVPI,AC_4fb5b2fea93fa4e4dcb8 | AC_993b7f3cad0c555ad8da,0.0176514645,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,498150878.878504,USD,TERMINT_91D5801672EA25D0D07E,base_fund,2019-01-01,2031-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_8C4C6F6668958FF5CF99,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2019-01-01,2031-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,2ae1d8d4437f484e9fcb,SRC035,3,"Cascade Seed Fund I, LLC 2019 Venture Capital $2,000,000 $2,000,000 $0 $0 $2,000,000 NM NM",INHERITED,2ae1d8d4437f484e9fcb,SRC035,3,"Cascade Seed Fund I, LLC 2019 Venture Capital $2,000,000 $2,000,000 $0 $0 $2,000,000 NM NM"
FP_cdc51ef994f1c2d4,FUND_0009,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,500000,0,500000,1500000,,,,,,,,,,,,,,,,,,,2021,Venture Capital,,EXTRACTED,SRC035,,,,4ee40627b85a4ec39a52 | 6b59c127acdbbdfdba40 | aacec82130fd9d477936 | afefaedad64d9f4de505 | c6822df9edb2ddc6a564,,,ACTIVE,Cascade Seed Fund II,Cascade Seed,5,4,0,12,PASS,,EXTRACTED,0,1,1,,,,,ANL_FUND_0009_20211231_DPI | ANL_FUND_0009_20211231_RVPI | ANL_FUND_0009_20211231_TVPI,AC_3224205a3fe3ec900c38 | AC_585700eb1c594a90834b,0.0246397284,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,542460222.420835,USD,TERMINT_96905F710BCE9C1AF41A,base_fund,2021-01-01,2033-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_A4DAE4E1211CC20E846D,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2021-01-01,2033-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,4ee40627b85a4ec39a52,SRC035,3,"Cascade Seed Fund II 2021 Venture Capital $2,000,000 $500,000 $1,500,000 $0 $500,000 NM NM",INHERITED,4ee40627b85a4ec39a52,SRC035,3,"Cascade Seed Fund II 2021 Venture Capital $2,000,000 $500,000 $1,500,000 $0 $500,000 NM NM"
FP_f1e88476f0c38133,FUND_0010,,,,as_of,,day,2021-12-31,,,,,fund_total,,5000000,5000000,1786462,5066868,0,,,,1.37,0.0359,,,,,,,,,,,,,,2007,Venture Capital,,EXTRACTED,SRC035,,,,6177301f8f7e23449460 | 7534cea2283a6b881e41 | 92053a25ff7132c1a7f2 | 94c0bb6a172f7aa542b8 | a0882ccffb723e2a644f | c273aea24d1f7b424c0c | dae52795d42ef5b81189,,,ACTIVE,"DFJ Frontier Fund II, L.P.",DFJ Frontier,7,5,0,11,PASS,,EXTRACTED,0.3572924,1.0133736,1.370666,,,,,ANL_FUND_0010_20211231_DPI | ANL_FUND_0010_20211231_RVPI | ANL_FUND_0010_20211231_TVPI,AC_157b04a32ebf32dfeb0f | AC_25a955e47ef821a40f49,0.0198746121,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,356179709.394598,USD,TERMINT_CECCBA1F6045D3E9F244,base_fund,2007-01-01,2019-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_75921180229600683877,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2007-01-01,2019-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,6177301f8f7e23449460,SRC035,1,"DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59",INHERITED,6177301f8f7e23449460,SRC035,1,"DFJ Frontier Fund II, L.P. 2007 Venture Capital $5,000,000 $5,000,000 $0 $1,786,462 $5,066,868 1.37 3.59"
FP_338ad79fe446d011,FUND_0011,,,,as_of,,day,2021-12-31,,,,,fund_total,,2500000,2123388,325791,3357542,376781,,,,1.73,0.1079,,,,,,,,,,,,,,2015,Natural Resources,,EXTRACTED,SRC035,,,,1d4b92f456db9ef075b3 | 29cd42f5a3c43b7329a0 | 33da7299740642b2d26c | 4dbcbe4d4d83fccdaaa6 | 512210c8e5fcad524cd0 | b11b53be6196635b94cb | b9317b4bcaa5c7d47099,,,ACTIVE,"Ecotrust Forests II, LLC",Ecotrust Forests,7,5,0,11,PASS,,EXTRACTED,0.1534298018,1.581219259,1.7346490608,,,,,ANL_FUND_0011_20211231_DPI | ANL_FUND_0011_20211231_RVPI | ANL_FUND_0011_20211231_TVPI,AC_1f99d83c6ed3b0b58ff2 | AC_56f36b4be0a4597ee2c0,0.0152730247,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,166286942.370386,USD,TERMINT_6761429EF0F4F4C5F2FC,base_fund,2015-01-01,2027-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_C4DA23C16687E1E19D0F,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2015-01-01,2027-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,1d4b92f456db9ef075b3,SRC035,2,"Ecotrust Forests II, LLC 2015 Natural Resources $2,500,000 $2,123,388 $376,781 $325,791 $3,357,542 1.73 10.79",INHERITED,1d4b92f456db9ef075b3,SRC035,2,"Ecotrust Forests II, LLC 2015 Natural Resources $2,500,000 $2,123,388 $376,781 $325,791 $3,357,542 1.73 10.79"
FP_dc22e9dd65e73fff,FUND_0012,,,,as_of,,day,2021-12-31,,,,,fund_total,,2000000,800000,0,809911,1200000,,,,,,,,,,,,,,,,,,,2020,Venture Capital,,EXTRACTED,SRC035,,,,1bbf0db1a6abd302d501 | 71f52af6fc187b91fbd5 | 9a7ee9cd0c6cb2c6aa8d | 9f3193ed3a76f2fc4052 | b6b2cfd9b4da0147e187,,,ACTIVE,Elevate Capital Fund II,Elevate Capita,5,4,0,12,PASS,,EXTRACTED,0,1.01238875,1.01238875,,,,,ANL_FUND_0012_20211231_DPI | ANL_FUND_0012_20211231_RVPI | ANL_FUND_0012_20211231_TVPI,AC_9025e9781f9cc28050f3 | AC_bb97ffbe94f400cecf95,0.0190187547,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,376276636.666366,USD,TERMINT_34437044BD9E9FB2E69B,base_fund,2020-01-01,2032-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_9F5A7D6A76035987535F,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2020-01-01,2032-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,1bbf0db1a6abd302d501,SRC035,3,"Elevate Capital Fund II 2020 Venture Capital $2,000,000 $800,000 $1,200,000 $0 $809,911 NM NM",INHERITED,1bbf0db1a6abd302d501,SRC035,3,"Elevate Capital Fund II 2020 Venture Capital $2,000,000 $800,000 $1,200,000 $0 $809,911 NM NM"
FP_e5a59edb9d3196bf,FUND_0013,,,,as_of,,day,2021-12-31,,,,,fund_total,,7000000,7059089,18995752,0,0,,,,2.69,0.2966,,,,,,,,,,,,,,2000,Buyout,,EXTRACTED,SRC035,,,,11c83cbdced63151f7ff | 30472d6465d9f0e84432 | 47f4d263f36bc16f510e | 8475d4a6b381b2208c31 | c6a543f32ae0468cec48 | ca6ae29291d0c9630fca | ebc8ba16acff022bff35,,,ACTIVE,"Endeavour Capital Fund III, L.P.",Endeavour Capita,7,5,0,11,PASS,,EXTRACTED,2.690963664,0,2.690963664,,,,,ANL_FUND_0013_20211231_DPI | ANL_FUND_0013_20211231_RVPI | ANL_FUND_0013_20211231_TVPI,AC_90033dc8f5f1013baf66 | AC_f09f88b56f0abeed6f1a,0.0204417247,committed_capital,0.2000000000,0.0800000000,1.0000000000,TRUE,whole_fund,10.0000,2.0000,annual,0.0030000000,251108579.910373,USD,TERMINT_3B9FEFB936311EBA05B7,base_fund,2000-01-01,2012-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,CLAUSEINT_433D81E9097E92445759,terms.special_term,Illustrative key-person provision,Synthetic demonstration clause; no source document reports this term.,Investment activity pauses after a declared key-person event until committee approval.,2000-01-01,2012-12-31,SYNTHETIC,,,data/integrated/cell-lineage.csv,INTEGRATED_COMPLETION_V1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,INHERITED,11c83cbdced63151f7ff,SRC035,1,"Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66",INHERITED,11c83cbdced63151f7ff,SRC035,1,"Endeavour Capital Fund III, L.P. 2000 Buyout $7,000,000 $7,059,089 $0 $18,995,752 $0 2.69 29.66"
