"route","agent_role","extractor_model","claimed_at","claimed_by"
"01-financials","B","stealth-openrouter-free","2026-08-22T21:07:12Z","operator"
"04-quarterly-report","B","stealth-openrouter-free","2026-08-22T21:07:12Z","operator"
"01-financials","A","gemini-3.7-flash","2026-08-22T21:10:39Z",""
"01-financials","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"02-performance","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"03-institutional-report","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"04-quarterly-report","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"05-fund-legal-docs","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"06-statements-and-economics","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"07-institutional-mission","B","stealth-openrouter-free","2026-08-22T21:11:04Z","operator"
"04-quarterly-report","A","gemini-3.7-flash","2026-08-22T21:18:51Z",""
"01-financials","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"02-performance","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"03-institutional-report","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"04-quarterly-report","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"05-fund-legal-docs","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"06-statements-and-economics","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"07-institutional-mission","B","grok-4.6","2026-08-22T21:19:14Z","operator correction"
"02-performance","B","gpt-5","2026-08-22T22:05:48Z",""
"02-performance","A","Cursor Grok 4.6","2026-08-22T22:06:53Z",""
"04-quarterly-report","B","Cursor Grok 4.6","2026-08-22T23:14:48Z",""
"04-quarterly-report","A","Cursor Grok 4.6","2026-08-23T02:35:19Z",""
"04-quarterly-report","B","gpt-5","2026-08-23T02:35:51Z",""
"04-quarterly-report","A","claude-sonnet-5","2026-08-23T03:28:48Z",""
"04-quarterly-report","A","claude-sonnet-5","2026-08-23T05:54:14Z",""
"04-quarterly-report","C","gpt-5.6-sol","2026-08-23T05:55:12Z",""
"04-quarterly-report","B","gpt-5","2026-08-23T05:55:29Z",""
"06-statements-and-economics","A","unknown","2026-08-23T05:57:21Z",""
"02-performance","B","gpt-5","2026-08-23T05:57:23Z",""
"06-statements-and-economics","B","gpt-5 (Codex)","2026-08-23T05:58:13Z",""
"02-performance","A","claude-sonnet-5","2026-08-23T05:58:39Z",""
"06-statements-and-economics","A","claude-sonnet-5","2026-08-23T17:39:52Z",""
"01-financials","A","claude-sonnet-5","2026-08-23T17:49:35Z",""
"01-financials","B","GPT-5","2026-08-23T17:51:03Z",""
"03-institutional-report","A","claude-sonnet-5","2026-08-23T17:53:16Z",""
"03-institutional-report","B","gpt-5","2026-08-23T17:53:32Z",""
"05-fund-legal-docs","A","claude-sonnet-5","2026-08-23T17:54:11Z",""
"05-fund-legal-docs","B","gpt-5","2026-08-23T17:55:19Z",""
"06-statements-and-economics","B","gpt-5 (Codex)","2026-08-23T17:57:13Z",""
"07-institutional-mission","A","claude-sonnet-5","2026-08-23T18:04:51Z",""
"07-institutional-mission","B","gpt-5 (Codex)","2026-08-23T18:06:05Z",""
"04-quarterly-report","J1","claude-opus-5[1m]","2026-08-23T18:22:25Z",""
"01-financials","A","claude-sonnet-5","2026-08-23T18:24:37Z",""
"04-quarterly-report","J2","claude-opus-5[1m]","2026-08-23T18:25:13Z",""
"01-financials","A","claude-sonnet-5","2026-08-23T18:48:04Z",""
"03-institutional-report","B","gpt-5","2026-08-23T19:35:18Z",""
"04-quarterly-report","J1","claude-opus-5[1m]","2026-08-23T23:16:24Z",""
"04-quarterly-report","J2","claude-opus-5[1m]","2026-08-23T23:17:01Z",""
"04-quarterly-report","J1","claude-opus-5","2026-08-24T00:11:22Z",""
"01-financials","J2","claude-opus-5","2026-08-24T00:33:27Z",""
"01-financials","J1","claude-opus-5","2026-08-24T00:33:32Z",""
"02-performance","J1","claude-opus-5[1m]","2026-08-24T00:34:36Z",""
"02-performance","J2","claude-opus-5[1m]","2026-08-24T00:34:46Z",""
"03-institutional-report","J1","claude-opus-5[1m]","2026-08-24T00:45:15Z",""
"03-institutional-report","J2","claude-opus-5","2026-08-24T00:45:36Z",""
"05-fund-legal-docs","J2","claude-opus-5[1m]","2026-08-24T01:04:52Z",""
"05-fund-legal-docs","J1","claude-opus-5[1m]","2026-08-24T01:04:58Z",""
"06-statements-and-economics","J1","claude-opus-5","2026-08-24T01:38:13Z",""
"06-statements-and-economics","J2","claude-opus-5","2026-08-24T01:38:33Z",""
"07-institutional-mission","J1","claude-opus-5[1m]","2026-08-24T01:40:41Z",""
"07-institutional-mission","J2","claude-opus-5","2026-08-24T01:40:48Z",""
